,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE,NOROESTE
,O3,PM10,PM2.5,PRS,RAINF,RH,SR,TOUT,WSR,WDV
,ppb,ug/m3,ug/m3,mmhg,mm/hr,%,Kw/m2,degC,KMPH,DEG
01-ene-15,4,199,169,717.9,0,91,0,5.17,3.1,247
01-ene-15,4,107,60,717.6,0,92,0,4.93,2.2,220
01-ene-15,4,51,26,717,0,92,0,4.73,2.7,255
01-ene-15,4,33,17,716.7,0,92,0,4.73,3.7,260
01-ene-15,4,30,17,716.7,0,92,0,4.41,5.5,277
01-ene-15,4,16,5,716.5,0,93,0,4.31,2.4,280
01-ene-15,5,17,6,716.8,0,93,0.002,4.34,4.9,294
01-ene-15,6,19,7,716.9,0,92,0.091,5.28,3.1,275
01-ene-15,7,18,5,716.7,0,90,0.121,6.35,3,148
01-ene-15,7,35,17,715.2,0,86,0.12,7.14,2.4,131
01-ene-15,7,38,34,714.4,0,86,0.119,7.61,2,213
01-ene-15,7,64,39,713.6,0,85,0.1,7.91,2.8,153
01-ene-15,7,73,59,713.5,0,85,0.071,7.77,3.7,147
01-ene-15,5,81,47,713.5,0,85,0.039,7.77,5.3,160
01-ene-15,4,83,57,713.3,0,88,0.011,7.3,6.9,151
01-ene-15,4,105,62,713.7,0,88,0,7.31,3.7,156
01-ene-15,3,95,49,713.9,0,89,0,7.17,5,111
01-ene-15,4,72,39,714.1,0,91,0,6.88,6.5,124
01-ene-15,4,58,31,714.1,0,93,0,6.23,7.3,140
01-ene-15,3,51,18,714.2,0,93,0,6.08,7,155
01-ene-15,3,33,10,714,0,94,0,5.52,9.7,158
02-ene-15,3,30,5,714.3,0,94,0,5.54,4.9,190
02-ene-15,4,31,7,714.5,0,94,0.018,4.99,1.7,174
02-ene-15,4,36,19,714.7,0,94,0.069,5.3,0.9,162
02-ene-15,5,58,28,714.6,0,92,0.222,6.36,3.3,158
02-ene-15,5,71,38,713.9,0,86,0.243,7.01,6.5,146
02-ene-15,6,89,39,712.7,0,81,0.244,7.48,6.4,141
